L-PISM 22?	1
ULN 2003D1013	1
PIC 12F675-I/SN	1
KEM X7R0805 2,2U	1
X7R-G0805 1,0/50	1
X7R-G0805 100N	4
ECC KTS500B106K	1
SMD-0805 22,0K	2
OMT3404 0,5A125	1
SMD-0805 120K	1
SMD-0805 330K	1
SS 14 VIS	1
BAT 46W	2
KEM X7R1210 22U	2
UA 78L05 ACPK	1
